asset_id,,financials_consolidated,In financials_consolidated?,,raw_listing_data_consolidated,In raw_listing_data_consolidated?,,offers_consolidated,in offers_consolidated?,,,,,,
5699,,5699,TRUE,,5699,TRUE,,5699,TRUE,,,,,,
5677,,5677,TRUE,,5677,TRUE,,5699,TRUE,,,,,,
5757,,5757,TRUE,,5757,TRUE,,5699,TRUE,,,,,,
5714,,5714,TRUE,,5714,TRUE,,5699,TRUE,,,,,,
5697,,5697,TRUE,,5697,TRUE,,5699,TRUE,,,,,,
5758,,5758,TRUE,,5758,TRUE,,5699,TRUE,,,,,,
5621,,5621,TRUE,,5621,TRUE,,5677,TRUE,,,,,,
5739,,5739,TRUE,,5739,TRUE,,5677,TRUE,,,,,,
5691,,5691,TRUE,,5691,TRUE,,5677,TRUE,,,,,,
5623,,5623,TRUE,,5623,TRUE,,5677,TRUE,,,,,,
5749,,5749,TRUE,,5749,TRUE,,5677,TRUE,,,,,,
4325,,4325,TRUE,,4325,TRUE,,5677,TRUE,,,,,,
5667,,5667,TRUE,,5667,TRUE,,5677,TRUE,,,,,,
5751,,5751,TRUE,,5751,TRUE,,5677,TRUE,,,,,,
5737,,5737,TRUE,,5737,TRUE,,5757,TRUE,,,,,,
5740,,5740,TRUE,,5740,TRUE,,5757,TRUE,,,,,,
5678,,5678,TRUE,,5678,TRUE,,5757,TRUE,,,,,,
5671,,5671,TRUE,,5671,TRUE,,5757,TRUE,,,,,,
5608,,5608,TRUE,,5608,TRUE,,5757,TRUE,,,,,,
5408,,5408,TRUE,,5408,TRUE,,5757,TRUE,,,,,,
5709,,5709,TRUE,,5709,TRUE,,5757,TRUE,,,,,,
2783,,2783,TRUE,,2783,TRUE,,5757,TRUE,,,,,,
5715,,5715,TRUE,,5715,TRUE,,5757,TRUE,,,,,,
3828,,3828,TRUE,,3828,TRUE,,5757,TRUE,,,,,,
5682,,5682,TRUE,,5682,TRUE,,5757,TRUE,,,,,,
5698,,5698,TRUE,,5698,TRUE,,5757,TRUE,,,,,,
5606,,5606,TRUE,,5606,TRUE,,5757,TRUE,,,,,,
5724,,5724,TRUE,,5724,TRUE,,5757,TRUE,,,,,,
5696,,5696,TRUE,,5696,TRUE,,5757,TRUE,,,,,,
4922,,4922,TRUE,,4922,TRUE,,5757,TRUE,,,,,,
5543,,5543,TRUE,,5543,TRUE,,5757,TRUE,,,,,,
5707,,5707,TRUE,,5707,TRUE,,5757,TRUE,,,,,,
5704,,5704,TRUE,,5704,TRUE,,5757,TRUE,,,,,,
4447,,4447,TRUE,,4447,TRUE,,5757,TRUE,,,,,,
4807,,4807,TRUE,,4807,TRUE,,5757,TRUE,,,,,,
5706,,5706,TRUE,,5706,TRUE,,5714,TRUE,,,,,,
5702,,5702,TRUE,,5702,TRUE,,5714,TRUE,,,,,,
5681,,5681,TRUE,,5681,TRUE,,5714,TRUE,,,,,,
4353,,4353,TRUE,,4353,TRUE,,5714,TRUE,,,,,,
5137,,5137,TRUE,,5137,TRUE,,5714,TRUE,,,,,,
4722,,4722,TRUE,,4722,TRUE,,5714,TRUE,,,,,,
5694,,5694,TRUE,,5694,TRUE,,5714,TRUE,,,,,,
5683,,5683,TRUE,,5683,TRUE,,5714,TRUE,,,,,,
3858,,3858,TRUE,,3858,TRUE,,5714,TRUE,,,,,,
5643,,5643,TRUE,,5643,TRUE,,5714,TRUE,,,,,,
5688,,5688,TRUE,,5688,TRUE,,5714,TRUE,,,,,,
5273,,5273,TRUE,,5273,TRUE,,5714,TRUE,,,,,,
5646,,5646,TRUE,,5646,TRUE,,5714,TRUE,,,,,,
5411,,5411,TRUE,,5411,TRUE,,5714,TRUE,,,,,,
5198,,5198,TRUE,,5198,TRUE,,5714,TRUE,,,,,,
5472,,5472,TRUE,,5472,TRUE,,5714,TRUE,,,,,,
5640,,5640,TRUE,,5640,TRUE,,5714,TRUE,,,,,,
5645,,5645,TRUE,,5645,TRUE,,5714,TRUE,,,,,,
5364,,5364,TRUE,,5364,TRUE,,5714,TRUE,,,,,,
