Listing ID,Sale Price,LTM Multiple,Last 12 Months,3-Year Average,Earnings Since 2022,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Marketplace Median,Minimum Bid,Asset ID,YouTube Link,Offer Info,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2014,Years Remaining,Expiration Date,Earnings Since 2018
5699,"$24,800",5.80 x LTM,"$4,277",—,"$11,541",2.31 Years,1,"$16,000","May 17, 2024",Life of Rights,—,"$23,000",5699,CAwf5KN6zN8,,,,,,,,
5677,"$21,944",4.84 x LTM,"$4,534","$2,588",,2.54 Years,,,,Life of Rights,"$**,***","$10,000",5677,"UMX-gTuKh8s,r5zP14_8meo,SR1syka8HQE",6 offers made by 2 investors,"$7,765",41,,,,,
5757,"$6,500",5.15 x LTM,"$1,262",$979,,4.62 Years,,,,Life of Rights,"$*,***","$2,000",5757,"KHyjGty526Y,VR-Ib7bJnt8,NUYxibFAN14",15 offers made by 7 investors,,17,"$6,498",,,,
5714,"$195,000",8.83 x LTM,"$22,087","$22,668",,9.04 Years,,,,Life of Rights,"$***,***","$55,000",5714,"IAw23ZuDuZs,yCSHuwCOLGo,egijOUnGgQ4",19 offers made by 3 investors,,11,,"$446,082",,,
5697,"$7,875",5.25 x LTM,"$1,500","$1,546",,3.07 Years,,,,Term Advance 30-Year,"$*,***","$5,000",5697,"hhcADzpfIAc,OTf4vAhWVGM",7 offers made by 2 investors,,19,"$4,812",,30.00,"July 9, 2054",
5758,"$25,000",7.93 x LTM,"$3,152","$4,200",,7.01 Years,,"$25,000","March 12, 2024",Life of Rights,"$**,***","$12,178",5758,"xa8WkJZ_Zr0,W5ct9ynWya0,uVFYWtzFunI",2 offers made by 2 investors,,75,,,,,"$33,661"
5621,"$62,800",3.76 x LTM,"$16,683",—,"$37,798",2.00 Years,1,"$51,100","March 30, 2024",Life of Rights,—,"$60,000",5621,H_zblx6EzME,,,,,,,,
5739,"$75,000",8.17 x LTM,"$9,178",—,"$26,432",9.92 Years,,,,Life of Rights,"$**,***","$45,000",5739,"fYfCsmJQO6E,X94DDVaLgTk,GTlawgsOQkI",5 offers made by 3 investors,,44,,,,,
,,,,,,,,,,,,,1202,,,,,,,,,
,,,,,,,,,,,,,1201,,,,,,,,,
,,,,,,,,,,,,,1198,,,,,,,,,
,,,,,,,,,,,,,1197,,,,,,,,,
,,,,,,,,,,,,,1196,,,,,,,,,
,,,,,,,,,,,,,1195,,,,,,,,,
,,,,,,,,,,,,,1193,,,,,,,,,
,,,,,,,,,,,,,1192,,,,,,,,,
,,,,,,,,,,,,,1191,,,,,,,,,
