Listing ID,Sale Price,LTM Multiple,Last 12 Months,3-Year Average,Earnings Since 2022,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Marketplace Median,Minimum Bid,Asset ID,Offer Info,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2014,Years Remaining,Expiration Date,Earnings Since 2018,Earnings Since 2015,Earnings Since 2009,Earnings Since 2013,,,,,,,,
5699,"$24,800 ",5.80 x LTM,4277,—,"$11,541 ",2.31 Years,1,"$16,000 ",17-May-24,Life of Rights,,"$23,000 ",5699,,,,,,,,,,,,,,,,,,,
5677,"$21,944 ",4.84 x LTM,4534,"$2,588 ",,2.54 Years,,,,Life of Rights,,"$10,000 ",5677,6 offers made by 2 investors,"$7,765 ",41,,,,,,,,,,,,,,,,
5757,"$6,500 ",5.15 x LTM,1262,$979 ,,4.62 Years,,,,Life of Rights,,"$2,000 ",5757,15 offers made by 7 investors,,17,"$6,498 ",,,,,,,,,,,,,,,
5714,"$195,000 ",8.83 x LTM,22087,"$22,668 ",,9.04 Years,,,,Life of Rights,,"$55,000 ",5714,19 offers made by 3 investors,,11,,"$446,082 ",,,,,,,,,,,,,,
5697,"$7,875 ",5.25 x LTM,1500,"$1,546 ",,3.07 Years,,,,Term Advance 30-Year,,"$5,000 ",5697,7 offers made by 2 investors,,19,"$4,812 ",,30,9-Jul-54,,,,,,,,,,,,
5758,"$25,000 ",7.93 x LTM,3152,"$4,200 ",,7.01 Years,,"$25,000 ",12-Mar-24,Life of Rights,,"$12,178 ",5758,2 offers made by 2 investors,,75,,,,,"$33,661 ",,,,,,,,,,,
5621,"$62,800 ",3.76 x LTM,16683,—,"$37,798 ",2.00 Years,1,"$51,100 ",30-Mar-24,Life of Rights,,"$60,000 ",5621,,,,,,,,,,,,,,,,,,,
5739,"$75,000 ",8.17 x LTM,9178,—,"$26,432 ",9.92 Years,,,,Life of Rights,,"$45,000 ",5739,5 offers made by 3 investors,,44,,,,,,,,,,,,,,,,
5691,"$30,000 ",7.75 x LTM,3873,"$3,648 ",,5.22 Years,,,,Life of Rights,,"$12,500 ",5691,7 offers made by 6 investors,,33,,"$22,676 ",,,,,,,,,,,,,,
5623,"$14,000 ",7.28 x LTM,1924,"$1,792 ",,4.15 Years,,"$10,799 ",22-Mar-24,Term Advance 30-Year,,"$14,000 ",5623,8 offers made by 6 investors,,101,,,29.72,22-Mar-54,,"$12,443 ",,,,,,,,,,
5749,"$49,800 ",4.07 x LTM,12250,—,"$20,498 ",3.43 Years,,,,Life of Rights,,"$25,000 ",5749,11 offers made by 5 investors,,20,,,,,,,,,,,,,,,,
4325,"$24,500 ",10.43 x LTM,2349,"$1,941 ",,25.72 Years,,"$17,500 ",25-Aug-21,Life of Rights,,"$20,000 ",4325,69 offers made by 25 investors,,58,,,,,,,"$17,825 ",,,,,,,,,
5667,"$24,888 ",6.98 x LTM,3564,"$4,950 ",,4.46 Years,,"$22,200 ",8-Mar-24,Life of Rights,,"$11,100 ",5667,8 offers made by 3 investors,,9,"$20,376 ",,,,,,,,,,,,,,,
5751,"$36,000 ",4.41 x LTM,8168,"$6,539 ",,3.35 Years,,,,Term Advance 30-Year,,"$13,000 ",5751,4 offers made by 2 investors,,185,,,30,29-Jun-54,"$21,788 ",,,,,,,,,,,
5737,"$76,500 ",3.71 x LTM,20634,"$10,338 ",,13.15 Years,,,,Life of Rights,,"$25,000 ",5737,4 offers made by 2 investors,,78,,,,,,,,"$48,975 ",,,,,,,,
5740,"$51,000 ",8.17 x LTM,6245,—,"$17,567 ",11.63 Years,,,,Life of Rights,,"$30,000 ",5740,4 offers made by 2 investors,,54,,,,,,,,,,,,,,,,
5678,"$54,000 ",10.56 x LTM,5112,"$4,961 ",,8.40 Years,,,,Life of Rights,,"$19,000 ",5678,37 offers made by 18 investors,,67,,,,,"$32,316 ",,,,,,,,,,,
5671,"$124,500 ",7.12 x LTM,17498,"$21,200 ",,7.15 Years,,,,Life of Rights,,"$85,000 ",5671,50 offers made by 9 investors,,160,,"$248,594 ",,,,,,,,,,,,,,
5608,"$53,000 ",3.98 x LTM,13332,—,,2.50 Years,1,"$38,000 ",29-Feb-24,Life of Rights,,"$5,000 ",5608,5 offers made by 2 investors,"$24,877 ",,,,,,,,,,,,,,,,,
5408,"$43,500 ",3.87 x LTM,11240,—,"$18,789 ",2.73 Years,4,"$23,900 ",4-Oct-23,Term Advance 10-Year,9.29,4-Oct-33,—,"$11,950 ",5408,,,,9.29,,,,,,,,,,,,,
5709,"$71,500 ",6.80 x LTM,10511,"$10,144 ",,5.85 Years,103,,,Life of Rights,,,"$**,***","$38,000 ",5709,"$41,034 ",,,,,,,,,,,,,,,,
2783,"$6,677 ",3.45 x LTM,1934,"$1,469 ",,13.10 Years,13,"$8,545 ",15-Mar-19,Term Advance 10-Year,4.74,15-Mar-29,"$*,***","$5,000 ",2783,,"$32,026 ",,4.74,,,,,,,,,,,,,
5715,"$245,000 ",5.50 x LTM,44545,"$52,606 ",,4.30 Years,20,,,Life of Rights,,,"$***,***","$185,000 ",5715,,,"$229,541 ",,,,,,,,,,,,,,
3828,"$23,000 ",6.54 x LTM,3518,"$1,651 ",,6.05 Years,7,"$33,000 ",22-Jul-20,Life of Rights,,,"$**,***","$15,995 ",3828,,,,,,,,,,,,,,,,,
5682,"$21,600 ",9.83 x LTM,2197,"$1,878 ",,8.07 Years,13,,,Life of Rights,,,"$**,***","$8,500 ",5682,"$7,196 ",,,,,,,,,,,,,,,,
5698,"$45,000 ",6.36 x LTM,7071,"$6,432 ",,8.82 Years,85,,,Term Advance 30-Year,30,14-Jun-54,—,"$25,000 ",5698,,,,30,"$76,695 ",,,,,,,,,,,,
5606,"$275,000 ",11.09 x LTM,24796,"$26,571 ",,69.74 Years,35,,,Life of Rights,,,"$***,***","$80,000 ",5606,,,,,,"$104,103 ",,,,,,,,,,,
5724,"$137,115 ",15.00 x LTM,9141,"$9,495 ",,19.53 Years,512,,,Life of Rights,,,—,"$8,329 ",5724,,,,,,,"$99,557 ",,,,,,,,,,
5696,"$14,200 ",5.13 x LTM,2766,"$2,818 ",,2.39 Years,4,"$10,500 ",20-May-24,Life of Rights,,,"$**,***","$5,250 ",5696,,,,,,,,,,,,,,,,,
4922,"$10,000 ",2.00 x LTM,4988,"$2,425 ",,4.17 Years,39,"$5,400 ",16-Nov-22,Term Advance 10-Year,8.42,16-Nov-32,—,"$10,000 ",4922,,,,8.42,,,,,,,,,,,,,
5543,"$31,500 ",7.91 x LTM,3983,"$3,699 ",,14.44 Years,9,,,Term Advance 30-Year,30,12-Jun-54,"$**,***","$17,500 ",5543,,,,30,,,,"$29,736 ",,,,,,,,,
5707,"$30,000 ",8.56 x LTM,3506,"$3,779 ",,6.84 Years,80,,,Term Advance 30-Year,30,11-Jun-54,"$**,***","$14,500 ",5707,,,,30,,,,,"$45,203 ",,,,,,,,
5704,"$6,500 ",18.86 x LTM,345,$573 ,,19.40 Years,37,,,Life of Rights,,,"$*,***","$1,250 ",5704,,,,,,,,,,"$3,248 ",,,,,,,
4447,"$10,000 ",13.03 x LTM,768,"$1,288 ",,11.80 Years,54,"$11,400 ",6-Jan-22,Life of Rights,,,—,"$1,371 ",4447,,,,,,,,,,,,,,,,,
4807,"$4,500 ",5.29 x LTM,851,$935 ,,11.84 Years,12,"$6,500 ",4-Sep-22,Term Advance 10-Year,4.96,24-May-29,"$*,***","$1,101 ",4807,,,,4.96,,,,,,,,,,,,,
5706,"$66,925 ",18.42 x LTM,3634,"$3,314 ",,10.76 Years,48,,,Life of Rights,,,"$**,***","$20,000 ",5706,,,,,"$29,541 ",,,,,,,,,,,,
5702,"$175,000 ",21.46 x LTM,8155,"$7,967 ",,39.71 Years,,,,Life of Rights,,,"$**,***","$8,155 ",5702,,,,,,"$34,811 ",,,,,1,,,,,,
5681,"$29,000 ",7.06 x LTM,4105,"$5,387 ",,5.99 Years,17,,,Life of Rights,,,"$**,***","$15,000 ",5681,,,"$46,192 ",,,,,,,,,,,,,,
4353,"$31,700 ",3.72 x LTM,8530,"$4,686 ",,6.08 Years,16,,,Term Advance 30-Year,30,4-Jun-54,"$**,***","$15,000 ",4353,,,,30,,,,,,,,"$44,978 ",,,,,
5137,"$87,388 ",7.51 x LTM,11637,"$8,076 ",,20.03 Years,3,"$64,888 ",17-Apr-23,Term Advance 30-Year,28.71,16-Feb-53,"$**,***","$79,999 ",5137,,"$61,645 ",,28.71,,,,,,,,,,,,,
4722,"$5,500 ",3.41 x LTM,1612,"$1,358 ",,7.40 Years,,"$8,350 ",8-Aug-19,Term Advance 10-Year,4.32,25-Sep-28,"$*,***","$4,800 ",4722,,,,4.32,,,,,,,1,,"$14,600 ",,,,
5694,"$35,000 ",11.32 x LTM,3093,"$3,435 ","$11,004 ",7.68 Years,13,,,Life of Rights,,,"$**,***","$11,000 ",5694,,,,,,,,,,,,,,,,,
5683,"$10,000 ",6.76 x LTM,1478,"$2,613 ",,4.20 Years,13,,,Life of Rights,,,"$*,***","$1,585 ",5683,,,,,,"$11,819 ",,,,,,,,,,,
3858,"$10,500 ",2.96 x LTM,3547,"$2,983 ",,7.85 Years,5,"$25,000 ",5-Dec-20,Term Advance 10-Year,4.12,9-Jul-28,"$*,***","$7,000 ",3858,,,,4.12,,,,,"$70,812 ",,,,,,,,
5643,"$150,000 ",20.07 x LTM,7476,"$7,303 ",,39.71 Years,,,,Life of Rights,,,"$**,***","$72,000 ",5643,,,,,,"$31,910 ",,,,,1,,,,,,
5688,"$23,000 ",4.84 x LTM,4753,"$2,970 ",,2.38 Years,57,,,Life of Rights,,,"$**,***","$5,000 ",5688,,,,,,,,,,,,,,"$14,086 ",,,
5273,"$10,500 ",3.80 x LTM,2766,"$2,818 ",,2.39 Years,4,"$13,000 ",20-Jul-23,Life of Rights,,,"$**,***","$6,500 ",5273,,,,,,,,,,,,,,,,,
5646,"$26,600 ",9.15 x LTM,2908,"$2,455 ",,32.73 Years,,,,Term Advance 30-Year,30,19-May-54,"$**,***","$14,500 ",5646,,"$33,558 ",,30,,,,,,,1,,,,,,
5411,"$96,700 ",7.42 x LTM,13028,"$8,989 ",,11.15 Years,9,"$61,000 ",17-Nov-23,Term Advance 30-Year,29.5,17-Nov-53,"$**,***",,5411,,,,29.5,"$90,917 ",,,,,,,,,,,,
5198,"$36,000 ",5.26 x LTM,6844,—,"$19,340 ",2.92 Years,2,"$20,500 ",11-May-23,Term Advance 30-Year,28.98,11-May-53,"$**,***","$10,250 ",5198,,,,28.98,,,,,,,,,,,,,
5472,"$16,000 ",4.85 x LTM,3300,—,"$9,533 ",2.06 Years,1,"$11,000 ",13-Dec-23,Life of Rights,—,"$5,500 ",5472,,,,,,,,,,,,,,,,,,,
5640,"$42,000 ",4.85 x LTM,8658,"$10,189 ",,3.39 Years,,,,Term Advance 30-Year,"$**,***","$29,000 ",5640,"$45,673 ",39,30,17-May-54,,39,,,,,,,,,,,,,
5645,"$70,750 ",7.00 x LTM,10105,"$9,331 ",,6.13 Years,,,,Life of Rights,"$**,***","$40,000 ",5645,,4,,,"$27,994 ",4,,,,,,,,,,,,,
5364,"$100,000 ",4.64 x LTM,21566,"$20,139 ",,4.80 Years,,,,Life of Rights,"$***,***","$65,000 ",5364,,85,,,,85,,,,,,,,,,,,,
5469,"$31,500 ",6.71 x LTM,4693,"$5,590 ",,5.67 Years,,"$46,000 ",26-Jan-22,Life of Rights,"$**,***","$18,122 ",5469,,34,,,,34,"$41,909 ",,,,,,,,,,,,
5668,"$37,500 ",9.83 x LTM,3813,"$3,361 ",,17.14 Years,,,,Life of Rights,"$**,***","$15,000 ",5668,,55,,,,55,"$27,510 ",,,,,,,,,,,,
5669,"$10,050 ",3.19 x LTM,3147,—,"$3,147 ",1.50 Years,,,,Life of Rights,—,"$3,147 ",5669,,3,,,,3,,,,,,,,,,,,,
4902,"$4,500 ",3.48 x LTM,1293,"$1,789 ",,7.89 Years,,"$5,500 ",6-Nov-22,Term Advance 10-Year,"$*,***","$1,911 ",4902,,30,5.1,20-Jun-29,,30,,"$38,553 ",,,,,,,,,,,
5662,"$73,500 ",28.28 x LTM,2599,"$2,584 ",,142.75 Years,1,,,Life of Rights,—,"$10,000 ",5662,,,,,,,,,"$55,834 ",,,,,,,,,,
5118,"$165,000 ",8.28 x LTM,19920,"$17,948 ",,4.37 Years,,"$87,500 ",23-Nov-21,Life of Rights,"$***,***","$150,000 ",5118,"$101,308 ",17,,,,17,,,,,,,,,,,,,
4879,"$18,000 ",9.42 x LTM,1910,"$1,365 ",,7.25 Years,1,"$14,000 ",12-Oct-22,Life of Rights,"$**,***","$16,000 ",4879,"$23,067 ",,,,,,,,,,,,,,,,,,
5233,"$350,000 ",8.98 x LTM,38976,"$33,547 ",,20.01 Years,,,,Life of Rights,"$***,***","$250,000 ",5233,,26,,,,26,,,,"$201,834 ",,,,,,,,,
5624,"$37,750 ",6.20 x LTM,6088,"$4,910 ",,6.45 Years,,,,Life of Rights,"$**,***","$20,000 ",5624,,66,,,,66,,,,,"$16,146 ",,,,,,,,
5658,"$14,100 ",6.40 x LTM,2204,"$2,551 ",,5.32 Years,,,,Life of Rights,"$**,***","$6,500 ",5658,,41,,,,41,,,,,"$13,363 ",,,,,,,,
