name,type,deal_date,market_median,multiplier,LTM,age,ID,price
"Lil Durk's ""Petty Too"" - Songwriter Royalties",life_of_rights,2024-07-21,,5.8,4277.0,2.31,5699,24800.0
"Ryan Ellis, Chris McClarney, The Belonging Co + More Songwriter Royalties",life_of_rights,2024-07-16,,4.84,4534.0,2.54,5677,21944.0
Quando Rondo - Producer Royalties,life_of_rights,2024-07-10,,5.15,1262.0,4.62,5757,6500.0
NoMBe - Sound Recording Royalties,life_of_rights,2024-07-09,,8.83,22087.0,9.04,5714,195000.0
Jenna Davis + More Songwriter Royalties,30_year,2024-07-09,,5.25,1500.0,3.07,5697,7875.0
"One Ok Rock, Lower Than Atlantis + More Rock Royalties",life_of_rights,2024-07-05,,7.93,3152.0,7.01,5758,25000.0
"Kane Brown's ""Grand"" - Songwriter Royalties",life_of_rights,2024-07-04,,3.76,16683.0,2.0,5621,62800.0
Jonathan Thulin - Sound Recording Royalties,life_of_rights,2024-07-02,,8.17,9178.0,9.92,5739,75000.0
"Rod Wave, Mozzy, Chris Brown + more - Songwriter Royalties",life_of_rights,2024-07-02,,7.75,3873.0,5.22,5691,30000.0
"Tisoki, Aitana, Cami + More - Songwriting Royalties",partial_30_year,2024-06-30,,7.28,1924.0,4.15,5623,14000.0
Kay Flock’s “Opp Spotter” + More Publishing Royalties ,life_of_rights,2024-06-30,,4.07,12250.0,3.43,5749,49800.0
"R&B Songwriter Royalties: Case, Mary J. Blige, & Foxy Brown",life_of_rights,2024-06-27,,10.43,2349.0,25.72,4325,24500.0
Youngboy Never Broke Again - Producer Royalties,life_of_rights,2024-06-30,,6.98,3564.0,4.46,5667,24888.0
Kay Flock’s “Opp Spotter” + More Songwriter Royalties ,30_year,2024-06-28,,4.41,8168.0,3.35,5751,36000.0
Independent Electro-Pop from Simon Curtis - Publishing Royalties,life_of_rights,2024-06-28,,3.71,20634.0,13.15,5737,76500.0
Press Play - Sound Recording Royalties,life_of_rights,2024-06-28,,8.17,6245.0,11.63,5740,51000.0
Producer Royalties from Justin Bieber Recordings,life_of_rights,,,10.56,5112.0,8.4,5678,54000.0
"Urban Rescue, Jesus Culture, Chris McClarney + More - Publishing Royalties",life_of_rights,2024-06-20,,7.12,17498.0,7.15,5671,124500.0
"NCT 127's hit ""Lemonade"" - Songwriting Royalties",life_of_rights,2024-06-19,,3.98,13332.0,2.5,5608,53000.0
Publishing Royalties by French Pop Artist Nej,partial_10_year,2024-06-19,,3.87,11240.0,2.73,5408,43500.0
"Chris Brown, Meek Mill, Tink + More Publishing Royalties",life_of_rights,2024-06-18,,6.8,10511.0,5.85,5709,71500.0
Songwriter Royalties From Popular Angel Taylor Tracks,partial_10_year,2024-06-18,,3.45,1934.0,13.1,2783,6677.0
Publishing Royalties from Rod Wave and JayDaYoungan,life_of_rights,2024-06-17,,5.5,44545.0,4.3,5715,245000.0
Blues & Rock Catalog: Joe Bonamassa and More,life_of_rights,2024-06-14,,6.54,3518.0,6.05,3828,23000.0
Songs by Future - Producer Royalties,life_of_rights,2024-06-14,,9.83,2197.0,8.07,5682,21600.0
"G.R.L., AJ Styles' Theme and More Songwriting Royalties",30_year,2024-06-14,,6.36,7071.0,8.82,5698,45000.0
"""Sh-Boom (Life Could Be A Dream)"" - Sound Recording Royalties",life_of_rights,2024-06-11,,11.09,24796.0,69.74,5606,275000.0
Shrek Film Score Music Royalties,life_of_rights,2024-06-14,,15.0,9141.0,19.53,5724,137115.0
"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",life_of_rights,2024-06-11,,5.13,2766.0,2.39,5696,14200.0
"Music for Television Including ""Black Lady Sketch Show"" and ""Real Housewives""",partial_10_year,2024-06-10,,2.0,4988.0,4.17,4922,10000.0
"Bow Wow, YFN Lucci, Young Dylan + More - Songwriter Royalties",30_year,2024-06-12,,7.91,3983.0,14.44,5543,31500.0
"Beyonce, Logic, Nas + More - Songwriting Royalties",30_year,2024-06-11,,8.56,3506.0,6.84,5707,30000.0
"Faithless, Dido, Santana + More - Songwriting Royalties",life_of_rights,2024-06-09,,18.86,345.0,19.4,5704,6500.0
"Production Music from ""Love Don't Cost A Thing"", ""The Game"", + more",life_of_rights,2024-06-09,,13.03,768.0,11.8,4447,10000.0
Pop & Hip-Hop With International Influence,partial_10_year,2024-06-05,,5.29,851.0,11.84,4807,4500.0
Rock Royalties from Cage The Elephant,life_of_rights,2024-06-05,,18.42,3634.0,10.76,5706,66925.0
Dire Straits - Classic Rock Royalties,life_of_rights,2024-06-03,,21.46,8155.0,39.71,5702,175000.0
Jake & Logan Paul - Publishing Royalties,life_of_rights,2024-06-04,,7.06,4105.0,5.99,5681,29000.0
"Wanmore, Danity Kane + More Hip-Hop & Pop Songwriting Royalties",30_year,2024-06-01,,3.72,8530.0,6.08,4353,31700.0
"Usher's ""Bad Girl"" - Songwriter Royalties",partial_30_year,2024-06-03,,7.51,11637.0,20.03,5137,87388.0
"Publishing Royalties: Drakes' ""Redemption""",partial_10_year,2024-05-29,,3.41,1612.0,7.4,4722,5500.0
"Rihanna, Kanye West + More Publishing Royalties",life_of_rights,2024-05-25,,11.32,3093.0,7.68,5694,35000.0
"DaBaby, Jeremih, Justin Beiber and More Pop and R&B Hits",life_of_rights,2024-05-25,,6.76,1478.0,4.2,5683,10000.0
Grammy-Awarded Artist Chris Brown,partial_10_year,2024-05-22,,2.96,3547.0,7.85,3858,10500.0
Dire Straits - Sound Recording Royalties,life_of_rights,2024-05-24,,20.07,7476.0,39.71,5643,150000.0
"3LAU, Duke & Jones + More - Songwriting Royalties",life_of_rights,2024-05-22,,4.84,4753.0,2.38,5688,23000.0
"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",life_of_rights,2024-05-20,,3.8,2766.0,2.39,5273,10500.0
"Color Me Badd's ""I Adore Mi Amor"" - Songwriter Royalties",30_year,2024-05-17,,9.15,2908.0,32.73,5646,26600.0
"Rihanna, Future, Luh Kel + More - Songwriter Royalties",partial_30_year,2024-05-15,,7.42,13028.0,11.15,5411,96700.0
Durag Activity by Baby Keem feat. Travis Scott - Songwriter Royalties,partial_30_year,2024-05-17,,5.26,6844.0,2.92,5198,36000.0
"Lil Durk's ""Petty Too"" - Songwriter Royalties",life_of_rights,2024-05-14,,4.85,3300.0,2.06,5472,16000.0
DJ Khaled’s “GREECE” (ft. Drake) + More Songwriter Royalties,30_year,2024-05-15,,4.85,8658.0,3.39,5640,42000.0
Songs by Ali Gatie - Publishing Royalties,life_of_rights,2024-05-14,,7.0,10105.0,6.13,5645,70750.0
"Lil Tjay, Boss Top, Hunxho, + More - Publisher Royalties",life_of_rights,2024-05-14,,4.64,21566.0,4.8,5364,100000.0
Top K-Pop Artists - Performance Royalties,life_of_rights,2024-05-13,,6.71,4693.0,5.67,5469,31500.0
DJ Unk’s “Walk It Out” + More Songwriter Royalties,life_of_rights,2024-05-13,,9.83,3813.0,17.14,5668,37500.0
Songs by NBA Youngboy & Quando Rondo - Songwriter Royalties,life_of_rights,2024-05-13,,3.19,3147.0,1.5,5669,10050.0
International Pop & Hip-Hop Catalog,partial_10_year,2024-05-12,,3.48,1293.0,7.89,4902,4500.0
Listerine Royalty Share,life_of_rights,2024-05-09,,28.28,2599.0,142.75,5662,73500.0
Publishing Royalties: Head & The Heart Indie-Folk + More,life_of_rights,2024-05-07,,8.28,19920.0,4.37,5118,165000.0
"Chris Brown's ""Party"" - Performance Royalties",life_of_rights,2024-05-09,,9.42,1910.0,7.25,4879,18000.0
My Chemical Romance - International Publishing Royalties,life_of_rights,2024-05-06,,8.98,38976.0,20.01,5233,350000.0
"Skan & Krale, Brevis, Drama B + More - Songwriting Royalties",life_of_rights,2024-05-08,,6.2,6088.0,6.45,5624,37750.0
"Steve Aoki, Chocolate Puma + More Songwriter Royalties",life_of_rights,2024-05-08,,6.4,2204.0,5.32,5658,14100.0
Mary J. Blige’s “Family Affair” + More Publishing Royalties,life_of_rights,2024-05-08,,10.46,23902.0,22.58,5664,250000.0
"Beyonce, King Combs, Big Freedia - Songwriter Royalties",life_of_rights,2024-05-07,,4.31,4404.0,2.91,5348,19000.0
Cage The Elephant Publishing Royalties,life_of_rights,2024-05-04,,15.52,9084.0,10.76,5644,141000.0
Sonic The Hedgehog Theme ft. Wiz khalifa + More,life_of_rights,2024-05-06,,7.61,2313.0,3.22,5421,17600.0
"Yo Gotti, Young Jeezy, Gucci Mane, Lil Wayne + More Publishing Royalties",life_of_rights,2024-05-03,,8.7,21381.0,11.52,5648,186000.0
Earl’s “Tongue Tied” - Publishing Royalties,life_of_rights,2024-05-02,,4.33,4502.0,6.79,5665,19500.0
Songs from NoCap - Sound Recording Royalties,life_of_rights,2024-05-02,,4.55,1867.0,4.86,5663,8500.0
"Songwriter Royalties - Sesame Street's ""Abby's Flying Fairy School""",30_year,2024-04-27,,8.15,3164.0,12.71,4213,25800.0
"Daphne Willis, Feelrs + More - Songwriting Royalties",30_year,2024-04-29,,4.59,9797.0,6.02,5638,45000.0
"Luh Tyler's ""Law and Order"" - Publisher Royalties",life_of_rights,2024-04-26,,4.5,4888.0,1.39,5641,22000.0
YFN Lucci + More - Songwriting Royalties,life_of_rights,2024-04-26,,5.88,4425.0,9.26,5656,26000.0
Royalties from Listerine,life_of_rights,2024-04-23,,23.08,6498.0,142.75,5611,150000.0
"Masego, Village Spillage, + More - Performance Royalties",30_year,,,6.24,961.0,5.44,5631,6000.0
"""Take You Away"" - Publishing Royalties",life_of_rights,2024-04-22,,3.08,1783.0,3.24,5647,5500.0
"Hit K-Pop, R&B, and Pop Royalties",partial_10_year,2024-04-19,,3.37,4446.0,6.83,5476,15000.0
"Andy Mineo, Wordsplayed + More Publishing Royalties",life_of_rights,2024-04-18,,6.53,1378.0,5.2,5628,9000.0
