name,type,year,quarter,revenue,ID
"Music From TV Show ""Cheaters""",life_of_rights,2017,3,56628.0,3932
Music Featured in Reality TV Franchises,life_of_rights,2017,3,5898.0,4340
"Alabama's ""If You're Gonna Play In Texas""",life_of_rights,2017,3,7646.0,4865
Contemporary Christian Hits,life_of_rights,2017,3,2085.0,5054
Akon's 3x Platinum Hit “Don't Matter”,life_of_rights,2017,4,3314.0,3046
"Dance Music: DJ Cassidy, R. Kelly, Robin Thicke",life_of_rights,2017,4,5768.0,4047
Contemporary Worship: Sound Recording & Publishing Royalties,life_of_rights,2017,4,12643.0,4912
“Ran Off On Da Plug Twice” by Plies - Songwriter Royalties,life_of_rights,2017,4,1575.0,4999
Indie-Electronic Artist Mux Mool,partial_10_year,2018,1,1312.0,2785
"Theme Song From Fox's ""Raising Hope""",partial_10_year,2018,1,4593.0,2823
"Beyoncé, Rita Ora, Kylie Minogue & More",life_of_rights,2018,1,9861.0,3063
Music From Popular Children’s TV Series,partial_10_year,2018,2,4285.0,2784
"Catalog Featuring Pop, Country, Christian & Rock",partial_10_year,2018,2,11763.0,2796
Rock + Production Music in TV & Commercials,partial_10_year,2018,2,1708.0,2820
Global Pop Catalog,life_of_rights,2018,2,5345.0,3126
International Catalog Featuring Shakira and More,partial_10_year,2018,2,12806.0,3190
Pop From Backstreet Boys & More,life_of_rights,2018,2,5105.0,3705
R&B & Pop Catalog: Featuring Trey Songz,partial_10_year,2018,2,1366.0,3854
Pop: New Kids On The Block & More,partial_10_year,2018,3,2079.0,2789
Diverse Pop & R&B Catalog,partial_10_year,2018,3,12426.0,2807
"Reality TV Placements: E! Network, Bravo, and More",partial_10_year,2018,3,6833.0,2816
"Production Catalog: Latin, Urban & Hip-Hop",partial_10_year,2018,3,8843.0,2824
Pop Catalog with Global Reach,partial_10_year,2018,3,3902.0,2829
Theme Song for Bravo Reality Series,life_of_rights,2018,3,2010.0,3060
Estelle’s Grammy-Winning Hit “American Boy”,partial_10_year,2018,3,12092.0,3062
Pop and R&B From Shakira & Jamie Foxx,life_of_rights,2018,3,4062.0,3081
Dickie Goodman: Pioneer of Sampling,life_of_rights,2018,3,2947.0,3082
Theme Music from ABC’s America This Morning,life_of_rights,2018,3,1454.0,3090
No. 1 Hip-Hop Single: “Roger That”,partial_10_year,2018,3,1078.0,3151
Grammy-Awarded Artist Chris Brown,partial_10_year,2018,3,3341.0,3157
Streaming-Driven Hip-Hop Prodigy Kaiydo,partial_10_year,2018,3,2093.0,3269
90s Dance/Hip-Hop + Fatboy Slim,life_of_rights,2018,3,1661.0,3715
Rising Hip-Hop Driven By Streaming,life_of_rights,2018,3,15734.0,4255
Commercial Music Placed in Film,partial_10_year,2018,4,1510.0,2793
R&B From Grammy-Nominated Amerie,partial_10_year,2018,4,5434.0,2795
Commercial Music Placed in TV and Film,partial_10_year,2018,4,9270.0,2798
International Pop and Hip-Hop,partial_10_year,2018,4,942.0,2817
Drake’s Multi-Platinum Hit “Best I Ever Had”,life_of_rights,2018,4,3840.0,2931
"5X Platinum Miley Cyrus' ""Wrecking Ball""",partial_10_year,2018,4,6488.0,3065
Pop & R&B: Ariana Grande + Tank,life_of_rights,2018,4,679.0,3155
International Pop & Electronic Collection,partial_10_year,2018,4,7741.0,3201
Multi-Platinum Ariana Grande & Justin Bieber,partial_10_year,2018,4,1598.0,3211
Matoma & Gia “Heart Won’t Forget”,partial_10_year,2018,4,333.0,3254
Multi-Platinum Ariana Grande & Justin Bieber,partial_10_year,2018,4,2264.0,3531
Streaming-Driven Hip-Hop Collection,life_of_rights,2018,4,3274.0,3699
Lil Uzi Vert + More Hip-Hop Publishing Royalties,partial_10_year,2018,4,19432.0,3896
Songwriter Royalties From Popular Angel Taylor Tracks,partial_10_year,2019,1,1934.0,2783
10-Year-Old Hip-Hop/Electronica,partial_10_year,2019,1,685.0,2828
25-Year-Old #1 Dance Club Hit,partial_10_year,2019,1,20338.0,2830
Asset #2915,partial_10_year,2019,1,3220.0,2915
Asset #2919,partial_10_year,2019,1,2953.0,2919
Grammy-Winning Band: Cage The Elephant,life_of_rights,2019,1,36402.0,2922
"Legendary Pop: Justin Timberlake, Beyoncé & Jay-Z",partial_10_year,2019,1,13978.0,3064
Hip-Hop Royalties from Shonlock,partial_10_year,2019,1,1122.0,3173
Asset #3186,partial_10_year,2019,1,499.0,3186
New Hip-Hop Earnings from Streaming,partial_10_year,2019,1,3000.0,3214
Streaming-Driven Hip-Hop Catalog,partial_10_year,2019,1,2149.0,3482
Pop & Hip-Hop With International Influence,partial_10_year,2019,2,1094.0,2794
Growing Alternative Rock Catalog: Have Mercy,partial_10_year,2019,2,744.0,2803
10-Year-Old Consistent Rock from Evans Blue,partial_10_year,2019,2,1015.0,2809
Contemporary Christian & Gospel Collection,partial_10_year,2019,2,357.0,2811
Asset #2833,partial_10_year,2019,2,944.0,2833
Asset #2835,partial_10_year,2019,2,1144.0,2835
"Streaming-Driven, 10-Year Old Hip-Hop",partial_10_year,2019,2,64398.0,2837
Asset #2840,partial_10_year,2019,2,9305.0,2840
