type,name,year,asset_id,title,artist
life_of_rights,"Ryan Ellis, Chris McClarney, The Belonging Co + More Songwriter Royalties",,5677,41.0,
life_of_rights,Quando Rondo - Producer Royalties,,5757,17.0,
life_of_rights,NoMBe - Sound Recording Royalties,,5714,11.0,
30_year,Jenna Davis + More Songwriter Royalties,,5697,19.0,
life_of_rights,"One Ok Rock, Lower Than Atlantis + More Rock Royalties",,5758,75.0,
life_of_rights,Jonathan Thulin - Sound Recording Royalties,,5739,44.0,
life_of_rights,"Rod Wave, Mozzy, Chris Brown + more - Songwriter Royalties",,5691,33.0,
partial_30_year,"Tisoki, Aitana, Cami + More - Songwriting Royalties",,5623,101.0,
life_of_rights,Kay Flock’s “Opp Spotter” + More Publishing Royalties ,,5749,20.0,
life_of_rights,"R&B Songwriter Royalties: Case, Mary J. Blige, & Foxy Brown",,4325,58.0,
life_of_rights,Youngboy Never Broke Again - Producer Royalties,,5667,9.0,
30_year,Kay Flock’s “Opp Spotter” + More Songwriter Royalties ,,5751,185.0,
life_of_rights,Independent Electro-Pop from Simon Curtis - Publishing Royalties,,5737,78.0,
life_of_rights,Press Play - Sound Recording Royalties,,5740,54.0,
life_of_rights,Producer Royalties from Justin Bieber Recordings,,5678,67.0,
life_of_rights,"Urban Rescue, Jesus Culture, Chris McClarney + More - Publishing Royalties",,5671,160.0,
partial_10_year,Publishing Royalties by French Pop Artist Nej,,5408,4.0,
life_of_rights,"Chris Brown, Meek Mill, Tink + More Publishing Royalties",,5709,103.0,
partial_10_year,Songwriter Royalties From Popular Angel Taylor Tracks,,2783,13.0,
life_of_rights,Publishing Royalties from Rod Wave and JayDaYoungan,,5715,20.0,
life_of_rights,Blues & Rock Catalog: Joe Bonamassa and More,,3828,7.0,
life_of_rights,Songs by Future - Producer Royalties,,5682,13.0,
30_year,"G.R.L., AJ Styles' Theme and More Songwriting Royalties",,5698,85.0,
life_of_rights,"""Sh-Boom (Life Could Be A Dream)"" - Sound Recording Royalties",,5606,35.0,
life_of_rights,Shrek Film Score Music Royalties,,5724,512.0,
life_of_rights,"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",,5696,4.0,
partial_10_year,"Music for Television Including ""Black Lady Sketch Show"" and ""Real Housewives""",,4922,39.0,
30_year,"Bow Wow, YFN Lucci, Young Dylan + More - Songwriter Royalties",,5543,9.0,
30_year,"Beyonce, Logic, Nas + More - Songwriting Royalties",,5707,80.0,
life_of_rights,"Faithless, Dido, Santana + More - Songwriting Royalties",,5704,37.0,
life_of_rights,"Production Music from ""Love Don't Cost A Thing"", ""The Game"", + more",,4447,54.0,
partial_10_year,Pop & Hip-Hop With International Influence,,4807,12.0,
life_of_rights,Rock Royalties from Cage The Elephant,,5706,48.0,
life_of_rights,Jake & Logan Paul - Publishing Royalties,,5681,17.0,
30_year,"Wanmore, Danity Kane + More Hip-Hop & Pop Songwriting Royalties",,4353,16.0,
partial_30_year,"Usher's ""Bad Girl"" - Songwriter Royalties",,5137,3.0,
life_of_rights,"Rihanna, Kanye West + More Publishing Royalties",,5694,13.0,
life_of_rights,"DaBaby, Jeremih, Justin Beiber and More Pop and R&B Hits",,5683,13.0,
partial_10_year,Grammy-Awarded Artist Chris Brown,,3858,5.0,
life_of_rights,"3LAU, Duke & Jones + More - Songwriting Royalties",,5688,57.0,
life_of_rights,"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",,5273,4.0,
partial_30_year,"Rihanna, Future, Luh Kel + More - Songwriter Royalties",,5411,9.0,
